sourceIPAddress,if_anomaly,if_score,lof_anomaly,lof_score,final_anomaly,risk_score
1.0,1,0.16485710268487125,-1,-18.82643494222657,1,0.5272507064997981
1.1,1,0.018486109865675115,1,-1.1456541398413926,0,0.29027048849414616
1.100,1,0.17013275845553932,1,-1.5300397893607518,0,0.14352038756560354
1.101,1,0.08076647232609013,1,-1.017150417014981,0,0.40088817117480824
1.102,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.104,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.113,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.118,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.123,1,0.21164072338535617,1,-1.0,0,0.4222850222042794
1.124,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.134,1,0.16188114199784676,1,-1.2573723429111199,0,0.23011707710940651
1.14,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.140,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.143,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.144,1,0.18358424942044632,1,-1.10636253800204,0,0.3175211949939443
1.146,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
1.147,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.148,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
1.150,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.151,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.154,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.157,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.160,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.170,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.173,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.177,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.179,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.183,1,0.10451246475830955,1,-1.0722040577893783,0,0.34537747274929353
1.189,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.19,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.193,1,0.20634417900238505,1,-0.9564250138688097,0,0.4933387161889382
1.194,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.195,1,0.16764458665832965,1,-1.0,0,0.4222850222042794
1.198,-1,-0.032698021677890154,1,-1.2340824411890323,1,0.7408155026241421
1.2,1,0.008406889026974729,1,-0.9905036425396473,0,0.44691158659668956
1.201,1,0.21341679162514038,-1,-991813337.6420056,1,0.500605571255551
1.202,1,0.2102280592877221,1,-1.0629999459113004,0,0.35668146951958013
1.203,1,0.17497322570986723,-1,-983510.9534415215,1,0.5038352846184901
1.204,1,0.23582582875713703,1,-1.0,0,0.4222850222042794
1.209,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.21,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.210,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.211,1,0.1733091554894049,1,-2.6030980751243105,0,0.07085183689947516
1.213,1,0.2099963776356808,1,-1.0,0,0.4222850222042794
1.216,1,0.19105060364954501,1,-0.981185653430175,0,0.46931772305207914
1.217,1,0.1463181038141465,1,-0.9945454562243803,0,0.43621316108195396
1.218,1,0.14718185729904332,1,-1.0,0,0.4222850222042794
1.220,1,0.1029020786831304,1,-1.123018101874908,0,0.3054097698829229
1.221,1,0.14205140748550343,1,-1.0760811085989692,0,0.34255147355672183
1.222,1,0.05425797504217411,1,-1.3770785374038312,0,0.17763423496164715
1.223,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.225,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.232,1,0.24449077639686662,1,-1.0,0,0.4222850222042794
1.235,1,0.2102280592877221,1,-1.0705882001470415,0,0.3477997577714978
1.236,1,0.2198049406371818,-1,-177209.95394477336,1,0.5068631408962455
1.237,1,0.15242102985743616,1,-1.1093624317461066,0,0.3153007670569237
1.238,1,0.075992160952148,1,-1.2929624151914925,0,0.21094065401695597
1.24,1,0.20252104562873585,1,-1.0272001863392917,0,0.38877674606378687
1.240,1,0.18050744770290666,1,-3.6522165855429605,0,0.05490512716996366
1.241,1,0.13318485877530212,1,-1.4831095617973697,0,0.14997981429148163
