avg_cpu,avg_memory,max_cpu,max_memory,sample_cpu,assigned_memory,page_cache_memory,cycles_per_instruction,memory_accesses_per_instruction,vertical_scaling,scheduler,priority,scheduling_class,failed,if_prediction,if_score,lof_prediction,lof_score,final_anomaly,if_score_scaled,lof_score_inverted,lof_score_scaled,risk_score
0.03216552734375,0.0008401870727539,0.609375,0.0008478164672851,0.0262451171875,0.0015773773193359,1.1444091796875e-05,105.27593231201172,0.0037790918722748,3.0,1.0,115,2,0,-1,-0.06048873622348894,-1,-864906992334.6554,1,0.3521775320220428,864906992334.6554,1.0,0.8239112339889786
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
0.52734375,0.2216796875,1.271484375,0.22216796875,0.64453125,0.2646484375,0.0010700225830078,1.918680548667908,0.0095059815794229,1.0,0.0,118,1,0,-1,-0.19595566196611536,1,-1.0,1,0.0,1.0,6.783690584574241e-14,0.500000000000034
